SID,Nombre,Latitud,Longitud,Elevacion,geometry
636,Isla de Maipo,-33.763888889,-70.886666667,352.0,POINT (-70.886666667 -33.763888889)
290,Río Laja Ag.arr. Del Salto,-37.2119,-72.3242,147.0,POINT (-72.3242 -37.2119)
413,Canal de Trasvase Estero Llau-Llau,-53.125,-70.9358,76.0,POINT (-70.9358 -53.125)
103,Alicahue Collihuay,-32.33,-70.7381,844.0,POINT (-70.7381 -32.33)
1128,Vicuña,-30.03832,-70.69655,631.0,POINT (-70.69655 -30.03832)
650,San Diego,-33.703027778,-71.371861111,104.0,POINT (-71.371861111 -33.703027778)
1123,Illapel,-31.64814,-71.19695,275.0,POINT (-71.19695 -31.64814)
725,Ñiquén,-36.293611111,-71.893611111,169.0,POINT (-71.893611111 -36.293611111)
410,Las Minas,-53.1381,-70.9875,210.0,POINT (-70.9875 -53.1381)
242,Ñuble en San Fabian,-36.5856,-71.5256,453.0,POINT (-71.5256 -36.5856)
355,Simpson Bajo Junta Coyhaique,-45.5517,-72.0681,204.0,POINT (-72.0681 -45.5517)
373,Lago O,-48.5169,-72.5953,268.0,POINT (-72.59529999999999 -48.5169)
240,Maule en Forel,-35.4069,-72.2083,43.0,POINT (-72.20829999999999 -35.4069)
599,Panquehue,-32.756638889,-70.808833333,555.0,POINT (-70.808833333 -32.756638889)
684,La Estrella Norte,-34.213333333,-71.716111111,288.0,POINT (-71.716111111 -34.213333333)
713,Coltauco,-34.237777778,-71.005,307.0,POINT (-71.005 -34.237777778)
416,Río Rubens en Ruta N 9,-52.03,-71.9414,182.0,POINT (-71.9414 -52.03)
738,Pinto,-36.713333333,-71.87555555600001,317.0,POINT (-71.87555555600001 -36.713333333)
542,Illapel,-31.731055555999998,-71.20555555600001,278.0,POINT (-71.20555555600001 -31.731055556)
581,Casablanca,-33.320833333,-71.437222222,267.0,POINT (-71.437222222 -33.320833333)
696,QUINTA TILCOCO,-34.361999999999995,-70.935277778,296.0,POINT (-70.935277778 -34.36199999999999)
686,Requinoa,-34.321667,-70.833694,377.0,POINT (-70.83369399999999 -34.321667)
617,Santa María,-32.749166667,-70.66027777800001,710.0,POINT (-70.66027777800001 -32.749166667)
614,Hijuelas,-32.847944444,-71.067083333,328.0,POINT (-71.067083333 -32.847944444)
111,Aconcagua Chacabuquito,-32.8503,-70.5094,946.0,POINT (-70.5094 -32.8503)
141,Cerro Calán,-33.395,-70.5367,854.0,POINT (-70.5367 -33.395)
423,Porvenir,-53.2908,-70.37,41.0,POINT (-70.37 -53.2908)
1141,Gabriela Mistral,-29.97852,-71.08039000000002,198.0,POINT (-71.08039000000002 -29.97852)
358,Glaciar San Rafael,-46.6433,-73.8575,8.0,POINT (-73.8575 -46.6433)
516,San Julián,-30.655277778000002,-71.318888889,267.0,POINT (-71.31888888899999 -30.655277778)
